Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8
OG0030067	AT2G27389.1|PACid_19640563		
OG0030068	AT2G41230.1|PACid_19640572		
OG0030069	AT2G36120.1|PACid_19640574		
OG0030070	AT2G39360.1|PACid_19640590		
OG0030071	AT2G43871.1|PACid_19640634		
OG0030072	AT2G31700.1|PACid_19640646		
OG0030073	AT2G26420.1|PACid_19640664		
OG0030074	AT2G31310.1|PACid_19640674		
OG0030075	AT2G01510.1|PACid_19640678		
OG0030076	AT2G35550.1|PACid_19640695		
OG0030077	AT2G12461.1|PACid_19640712		
OG0030078	AT2G40260.1|PACid_19640720		
OG0030079	AT2G12557.1|PACid_19640733		
OG0030080	AT2G29654.1|PACid_19640742		
OG0030081	AT2G43261.1|PACid_19640755		
OG0030082	AT2G20635.1|PACid_19640767		
OG0030083	AT2G22730.1|PACid_19640783		
OG0030084	AT2G28440.1|PACid_19640790		
OG0030085	AT2G01400.1|PACid_19640791		
OG0030086	AT2G39855.1|PACid_19640807		
OG0030087	AT2G41090.1|PACid_19640814		
OG0030088	AT2G18610.1|PACid_19640827		
OG0030089	AT2G39820.1|PACid_19640832		
OG0030090	AT2G14890.1|PACid_19640833		
OG0030091	AT2G13570.1|PACid_19640835		
OG0030092	AT2G03730.1|PACid_19640836		
OG0030093	AT2G46390.1|PACid_19640839		
OG0030094	AT2G25295.1|PACid_19640843		
OG0030095	AT2G45070.1|PACid_19640847		
OG0030096	AT2G20921.1|PACid_19640858		
OG0030097	AT2G34315.1|PACid_19640883		
OG0030098	AT2G38180.1|PACid_19640905		
OG0030099	AT2G42400.1|PACid_19640906		
OG0030100	AT2G36053.1|PACid_19640921		
OG0030101	AT2G04370.1|PACid_19640954		
OG0030102	AT2G38340.1|PACid_19640955		
OG0030103	AT2G24780.1|PACid_19640962		
OG0030104	AT2G02070.1|PACid_19640972		
OG0030105	AT2G22426.1|PACid_19640973		
OG0030106	AT2G16016.1|PACid_19640985		
OG0030107	AT2G27228.1|PACid_19640993		
OG0030108	AT2G01175.1|PACid_19641007		
OG0030109	AT2G40880.1|PACid_19641053		
OG0030110	AT2G03938.1|PACid_19641056		
OG0030111	AT2G23040.1|PACid_19641057		
OG0030112	AT2G01810.1|PACid_19641080		
OG0030113	AT2G20142.1|PACid_19641085		
OG0030114	AT2G36410.1|PACid_19641086		
OG0030115	AT2G26511.1|PACid_19641113		
OG0030116	AT2G07830.1|PACid_19641138		
OG0030117	AT2G11462.1|PACid_19641139		
OG0030118	AT2G19893.1|PACid_19641140		
OG0030119	AT2G32295.1|PACid_19641146		
OG0030120	AT2G07774.1|PACid_19641151		
OG0030121	AT2G04890.1|PACid_19641200		
OG0030122	AT2G40475.1|PACid_19641211		
OG0030123	AT2G33380.1|PACid_19641215		
OG0030124	AT2G21185.1|PACid_19641231		
OG0030125	AT2G34185.2|PACid_19641241		
OG0030126	AT2G29525.1|PACid_19641246		
OG0030127	AT2G16015.1|PACid_19641264		
OG0030128	AT2G07738.1|PACid_19641288		
OG0030129	AT2G11910.1|PACid_19641293		
OG0030130	AT2G17210.1|PACid_19641302		
OG0030131	AT2G30985.1|PACid_19641325		
OG0030132	AT2G16360.1|PACid_19641381		
OG0030133	AT2G23834.1|PACid_19641389		
OG0030134	AT2G32260.1|PACid_19641395		
OG0030135	AT2G22040.1|PACid_19641396		
OG0030136	AT2G04063.1|PACid_19641403		
OG0030137	AT2G05630.2|PACid_19641425		
OG0030138	AT2G40640.1|PACid_19641477		
OG0030139	AT2G36010.2|PACid_19641489		
OG0030140	AT2G41650.1|PACid_19641499		
OG0030141	AT2G05803.1|PACid_19641510		
OG0030142	AT2G07363.1|PACid_19641514		
OG0030143	AT2G05500.1|PACid_19641528		
OG0030144	AT2G12977.1|PACid_19641539		
OG0030145	AT2G36470.1|PACid_19641541		
OG0030146	AT2G13272.1|PACid_19641543		
OG0030147	AT2G47860.3|PACid_19641544		
OG0030148	AT2G24592.1|PACid_19641552		
OG0030149	AT2G18460.1|PACid_19641556		
OG0030150	AT2G22425.1|PACid_19641566		
OG0030151	AT2G45530.1|PACid_19641573		
OG0030152	AT2G46400.1|PACid_19641583		
OG0030153	AT2G11891.1|PACid_19641584		
OG0030154	AT2G40085.1|PACid_19641585		
OG0030155	AT2G31271.1|PACid_19641603		
OG0030156	AT2G07290.1|PACid_19641607		
OG0030157	AT2G43450.1|PACid_19641616		
OG0030158	AT2G20970.2|PACid_19641627		
OG0030159	AT2G47320.1|PACid_19641632		
OG0030160	AT2G27220.2|PACid_19641633		
OG0030161	AT2G34224.1|PACid_19641642		
OG0030162	AT2G22000.1|PACid_19641661		
OG0030163	AT2G35210.1|PACid_19641708		
OG0030164	AT2G46787.1|PACid_19641710		
OG0030165	AT2G15340.1|PACid_19641720		
OG0030166	AT2G25200.1|PACid_19641763		
OG0030167	AT2G11778.1|PACid_19641779		
OG0030168	AT2G23680.1|PACid_19641793		
OG0030169	AT2G20150.1|PACid_19641795		
OG0030170	AT2G29452.1|PACid_19641797		
OG0030171	AT2G01240.1|PACid_19641799		
OG0030172	AT2G07787.1|PACid_19641802		
OG0030173	AT2G25697.1|PACid_19641803		
OG0030174	AT2G02023.1|PACid_19641813		
OG0030175	AT2G09388.1|PACid_19641814		
OG0030176	AT2G05645.1|PACid_19641815		
OG0030177	AT2G23118.1|PACid_19641818		
OG0030178	AT2G28090.1|PACid_19641824		
OG0030179	AT2G44410.1|PACid_19641826		
OG0030180	AT2G38160.1|PACid_19641829		
OG0030181	AT2G06095.1|PACid_19641838		
OG0030182	AT2G12405.1|PACid_19641840		
OG0030183	AT2G26120.1|PACid_19641849		
OG0030184	AT2G28540.2|PACid_19641858		
OG0030185	AT2G18800.1|PACid_19641863		
OG0030186	AT2G42860.1|PACid_19641879		
OG0030187	AT2G23348.1|PACid_19641883		
OG0030188	AT2G41225.1|PACid_19641891		
OG0030189	AT2G34186.1|PACid_19641896		
OG0030190	AT2G22670.4|PACid_19641897		
OG0030191	AT2G15327.1|PACid_19641907		
OG0030192	AT2G16490.1|PACid_19641908		
OG0030193	AT2G38400.2|PACid_19641913		
OG0030194	AT2G40970.1|PACid_19641932		
OG0030195	AT2G16019.1|PACid_19641948		
OG0030196	AT2G38830.1|PACid_19641951		
OG0030197	AT2G37380.1|PACid_19641955		
OG0030198	AT2G28755.1|PACid_19641964		
OG0030199	AT2G15325.1|PACid_19641967		
OG0030200	AT2G41780.1|PACid_19642000		
OG0030201	AT2G25900.1|PACid_19642002		
OG0030202	AT2G17410.1|PACid_19642004		
OG0030203	AT2G28401.1|PACid_19642018		
OG0030204	AT2G40620.1|PACid_19642036		
OG0030205	AT2G45135.1|PACid_19642044		
OG0030206	AT2G01820.1|PACid_19642054		
OG0030207	AT2G22201.1|PACid_19642055		
OG0030208	AT2G29430.1|PACid_19642062		
OG0030209	AT2G27160.2|PACid_19642092		
OG0030210	AT2G12905.1|PACid_19642097		
OG0030211	AT2G35950.1|PACid_19642102		
OG0030212	AT2G28625.1|PACid_19642107		
OG0030213	AT2G35208.1|PACid_19642136		
OG0030214	AT2G35150.1|PACid_19642149		
OG0030215	AT2G46510.1|PACid_19642165		
OG0030216	AT2G48140.1|PACid_19642168		
OG0030217	AT2G07000.1|PACid_19642170		
OG0030218	AT2G11570.1|PACid_19642171		
OG0030219	AT2G31850.1|PACid_19642175		
OG0030220	AT2G16595.1|PACid_19642194		
OG0030221	AT2G36940.1|PACid_19642197		
OG0030222	AT2G02550.2|PACid_19642209		
OG0030223	AT2G13720.1|PACid_19642212		
OG0030224	AT2G31018.1|PACid_19642213		
OG0030225	AT2G36020.1|PACid_19642216		
OG0030226	AT2G22802.1|PACid_19642223		
OG0030227	AT2G42890.1|PACid_19642226		
OG0030228	AT2G40180.1|PACid_19642233		
OG0030229	AT2G10014.1|PACid_19642251		
OG0030230	AT2G23350.1|PACid_19642254		
OG0030231	AT2G07521.1|PACid_19642288		
OG0030232	AT2G24350.1|PACid_19642290		
OG0030233	AT2G45860.1|PACid_19642292		
OG0030234	AT2G29760.1|PACid_19642310		
OG0030235	AT2G46030.1|PACid_19642314		
OG0030236	AT2G14700.1|PACid_19642319		
OG0030237	AT2G28671.1|PACid_19642325		
OG0030238	AT2G18270.1|PACid_19642331		
OG0030239	AT2G18160.1|PACid_19642379		
OG0030240	AT2G35730.1|PACid_19642381		
OG0030241	AT2G17785.1|PACid_19642382		
OG0030242	AT2G13273.1|PACid_19642389		
OG0030243	AT2G04880.1|PACid_19642396		
OG0030244	AT2G25460.1|PACid_19642398		
OG0030245	AT2G07820.1|PACid_19642399		
OG0030246	AT2G43900.1|PACid_19642404		
OG0030247	AT2G26290.1|PACid_19642405		
OG0030248	AT2G47190.1|PACid_19642413		
OG0030249	AT2G10608.1|PACid_19642417		
OG0030250	AT2G27385.1|PACid_19642423		
OG0030251	AT2G22080.1|PACid_19642434		
OG0030252	AT2G26610.1|PACid_19642441		
OG0030253	AT2G45126.1|PACid_19642462		
OG0030254	AT2G29628.1|PACid_19642469		
OG0030255	AT2G15770.1|PACid_19642491		
OG0030256	AT2G38152.1|PACid_19642505		
OG0030257	AT2G43865.1|PACid_19642514		
OG0030258	AT2G35750.1|PACid_19642531		
OG0030259	AT2G07669.1|PACid_19642540		
OG0030260	AT2G36260.1|PACid_19642553		
OG0030261	AT2G39040.1|PACid_19642555		
OG0030262	AT2G05270.1|PACid_19642589		
OG0030263	AT2G09838.1|PACid_19642607		
OG0030264	AT2G04800.1|PACid_19642611		
OG0030265	AT2G31981.1|PACid_19642616		
OG0030266	AT2G18000.2|PACid_19642621		
OG0030267	AT2G37200.1|PACid_19642624		
OG0030268	AT2G21725.1|PACid_19642632		
OG0030269	AT2G27310.1|PACid_19642639		
OG0030270	AT2G07806.2|PACid_19642652		
OG0030271	AT2G43386.1|PACid_19642669		
OG0030272	AT2G39500.1|PACid_19642673		
OG0030273	AT2G16835.1|PACid_19642679		
OG0030274	AT2G23830.1|PACid_19642680		
OG0030275	AT2G43470.1|PACid_19642703		
OG0030276	AT2G38640.1|PACid_19642722		
OG0030277	AT2G15318.1|PACid_19642725		
OG0030278	AT2G35300.1|PACid_19642743		
OG0030279	AT2G17940.1|PACid_19642750		
OG0030280	AT2G22340.1|PACid_19642752		
OG0030281	AT2G38880.8|PACid_19642767		
OG0030282	AT2G16340.1|PACid_19642782		
OG0030283	AT2G42395.1|PACid_19642807		
OG0030284	AT2G25420.1|PACid_19642822		
OG0030285	AT2G32487.1|PACid_19642841		
OG0030286	AT2G38350.1|PACid_19642846		
OG0030287	AT2G20270.2|PACid_19642849		
OG0030288	AT2G40004.1|PACid_19642854		
OG0030289	AT2G25052.1|PACid_19642855		
OG0030290	AT2G23310.1|PACid_19642864		
OG0030291	AT2G23321.1|PACid_19642872		
OG0030292	AT2G29920.1|PACid_19642880		
OG0030293	AT2G21450.1|PACid_19642887		
OG0030294	AT2G23067.1|PACid_19642891		
OG0030295	AT2G22088.1|PACid_19642901		
OG0030296	AT2G26410.1|PACid_19642917		
OG0030297	AT2G43350.1|PACid_19642919		
OG0030298	AT2G07362.1|PACid_19642953		
OG0030299	AT2G35050.1|PACid_19642955		
OG0030300	AT2G13363.1|PACid_19642962		
OG0030301	AT2G22490.2|PACid_19642981		
OG0030302	AT2G04675.1|PACid_19642990		
OG0030303	AT2G44250.1|PACid_19643014		
OG0030304	AT2G21880.1|PACid_19643019		
OG0030305	AT2G46540.1|PACid_19643021		
OG0030306	AT2G25510.1|PACid_19643026		
OG0030307	AT2G42340.1|PACid_19643043		
OG0030308	AT2G04380.1|PACid_19643044		
OG0030309	AT2G24834.1|PACid_19643046		
OG0030310	AT2G25690.1|PACid_19643051		
OG0030311	AT2G27229.1|PACid_19643054		
OG0030312	AT2G25169.1|PACid_19643068		
OG0030313	AT2G33175.1|PACid_19643074		
OG0030314	AT2G28105.1|PACid_19643076		
OG0030315	AT2G02960.5|PACid_19643079		
OG0030316	AT2G03320.1|PACid_19643095		
OG0030317	AT2G16955.1|PACid_19643105		
OG0030318	AT2G01667.1|PACid_19643110		
OG0030319	AT2G06420.1|PACid_19643122		
OG0030320	AT2G47780.1|PACid_19643134		
OG0030321	AT2G22241.1|PACid_19643135		
OG0030322	AT2G18721.1|PACid_19643137		
OG0030323	AT2G15310.1|PACid_19643145		
OG0030324	AT2G16020.1|PACid_19643149		
